Run,Activation,Optimizer,Dropout,L1_reg,L2_reg,Val_Accuracy,Val_Loss,Test_Accuracy,Test_Loss
24,relu,adam,0.5,0.001,0.005,0.8610000014305115,0.8292053937911987,0.8442999720573425,0.8544435501098633
25,relu,adam,0.5,0.005,,0.8326666951179504,1.7872356176376343,0.8108999729156494,1.8156541585922241
26,relu,adam,0.5,0.005,0.001,0.8224999904632568,1.758594274520874,0.807200014591217,1.778982400894165
27,relu,adam,0.5,0.005,0.005,0.8245000243186951,1.8381633758544922,0.8079000115394592,1.8606623411178589
28,relu,sgd,,,,0.9123333096504211,0.24005527794361115,0.9065999984741211,0.25625893473625183
29,relu,sgd,,,0.001,0.9148333072662354,0.5097408294677734,0.9059000015258789,0.5322012305259705
30,relu,sgd,,,0.005,0.8970000147819519,0.5025725364685059,0.8841000199317932,0.522444486618042
31,relu,sgd,,0.001,,0.8738333582878113,0.6124958395957947,0.8644000291824341,0.6335636973381042
32,relu,sgd,,0.001,0.001,0.8726666569709778,0.6217891573905945,0.8579000234603882,0.6406864523887634
33,relu,sgd,,0.001,0.005,0.8585000038146973,0.620527982711792,0.8395000100135803,0.6487681865692139
34,relu,sgd,,0.005,,0.8151666522026062,0.9587250351905823,0.8076000213623047,0.9848984479904175
35,relu,sgd,,0.005,0.001,0.8199999928474426,0.9433078765869141,0.8064000010490417,0.9701839685440063
36,relu,sgd,,0.005,0.005,0.8159999847412109,0.9905626773834229,0.8041999936103821,1.0118701457977295
37,relu,sgd,0.3,,,0.9166666865348816,0.2361348420381546,0.9099000096321106,0.2508881688117981
38,relu,sgd,0.3,,0.001,0.9101666808128357,0.5234452486038208,0.90420001745224,0.5397520065307617
39,relu,sgd,0.3,,0.005,0.8949999809265137,0.4939124286174774,0.8835999965667725,0.5183197259902954
40,relu,sgd,0.3,0.001,,0.8665000200271606,0.659106969833374,0.8499000072479248,0.6921731233596802
41,relu,sgd,0.3,0.001,0.001,0.8686666488647461,0.7189561128616333,0.845300018787384,0.7457911372184753
42,relu,sgd,0.3,0.001,0.005,0.8586666584014893,0.6632245779037476,0.8410999774932861,0.6919875144958496
43,relu,sgd,0.3,0.005,,0.828499972820282,1.0588209629058838,0.8043000102043152,1.085739016532898
44,relu,sgd,0.3,0.005,0.001,0.8266666531562805,1.0465437173843384,0.8090000152587891,1.0666042566299438
45,relu,sgd,0.3,0.005,0.005,0.8066666722297668,1.085593342781067,0.7925999760627747,1.105852723121643
46,relu,sgd,0.5,,,0.9163333177566528,0.24277806282043457,0.9046000242233276,0.25952497124671936
47,relu,sgd,0.5,,0.001,0.9076666831970215,0.5305142402648926,0.8949999809265137,0.5533547401428223
48,relu,sgd,0.5,,0.005,0.8926666378974915,0.5217095613479614,0.8884999752044678,0.539479672908783
49,relu,sgd,0.5,0.001,,0.8663333058357239,0.6803846955299377,0.8531000018119812,0.6957299709320068
50,relu,sgd,0.5,0.001,0.001,0.8659999966621399,0.6750514507293701,0.8533999919891357,0.6973392367362976
51,relu,sgd,0.5,0.001,0.005,0.8463333249092102,0.6926110982894897,0.8352000117301941,0.7105351090431213
52,relu,sgd,0.5,0.005,,0.8083333373069763,1.1280866861343384,0.7922000288963318,1.153014063835144
53,relu,sgd,0.5,0.005,0.001,0.8176666498184204,1.115658164024353,0.801800012588501,1.1374341249465942
54,relu,sgd,0.5,0.005,0.005,0.8109999895095825,1.0894163846969604,0.7910000085830688,1.119712471961975
55,relu,rmsprop,,,,0.9273333549499512,0.21014921367168427,0.9200000166893005,0.23829451203346252
56,relu,rmsprop,,,0.001,0.9161666631698608,0.3396051526069641,0.9049999713897705,0.3626518249511719
57,relu,rmsprop,,,0.005,0.8846666812896729,0.44073420763015747,0.8755000233650208,0.4576042890548706
58,relu,rmsprop,,0.001,,0.887666642665863,1.2242350578308105,0.8779000043869019,1.2405154705047607
59,relu,rmsprop,,0.001,0.001,0.8786666393280029,1.2899943590164185,0.8725000023841858,1.3051607608795166
60,relu,rmsprop,,0.001,0.005,0.8733333349227905,1.2857381105422974,0.8605999946594238,1.3120238780975342
