Run,Activation,Optimizer,Dropout,L1_reg,L2_reg,Val_Accuracy,Val_Loss,Test_Accuracy,Test_Loss
191,LeakyReLU,rmsprop,0.2,,0.001,0.8335000276565552,0.720535397529602,0.8213000297546387,0.7467499375343323
3,relu,adam,,,0.005,0.8335000276565552,0.7955130338668823,0.8223999738693237,0.8233832120895386
84,relu,rmsprop,0.2,,0.005,0.8318333625793457,0.7720538973808289,0.8170999884605408,0.8010508418083191
137,LeakyReLU,adam,0.5,,0.001,0.8309999704360962,0.7784964442253113,0.8222000002861023,0.8023977875709534
129,LeakyReLU,adam,0.3,,0.005,0.8305000066757202,0.7879272699356079,0.8217999935150146,0.8180394172668457
235,tanh,adam,0.3,,,0.8301666378974915,0.46483469009399414,0.8184000253677368,0.506476104259491
21,relu,adam,0.3,,0.005,0.8291666507720947,0.7829013466835022,0.8151000142097473,0.8073170781135559
102,relu,rmsprop,0.5,,0.005,0.8289999961853027,0.8166916370391846,0.8097000122070312,0.8496566414833069
30,relu,adam,0.5,,0.005,0.8289999961853027,0.8341296911239624,0.8176000118255615,0.8630796074867249
228,tanh,adam,0.2,,0.005,0.8288333415985107,0.7827660441398621,0.814300000667572,0.8113079071044922
138,LeakyReLU,adam,0.5,,0.005,0.8266666531562805,0.8373748660087585,0.8165000081062317,0.8615476489067078
29,relu,adam,0.5,,0.001,0.8261666893959045,0.7416530847549438,0.8123999834060669,0.7754907011985779
236,tanh,adam,0.3,,0.001,0.8261666893959045,0.7818643450737,0.8104000091552734,0.8155719637870789
219,tanh,adam,,,0.005,0.8243333101272583,0.7492127418518066,0.8097000122070312,0.7801533937454224
120,LeakyReLU,adam,0.2,,0.005,0.8241666555404663,0.7944886088371277,0.8047000169754028,0.8215901255607605
199,LeakyReLU,rmsprop,0.3,,,0.8236666917800903,0.4554579555988312,0.8108999729156494,0.48406553268432617
192,LeakyReLU,rmsprop,0.2,,0.005,0.8230000138282776,0.7912213802337646,0.8108999729156494,0.8145855069160461
237,tanh,adam,0.3,,0.005,0.8223333358764648,0.8098764419555664,0.8090000152587891,0.8379466533660889
290,tanh,rmsprop,,,0.001,0.8195000290870667,0.7672001719474792,0.8144000172615051,0.7923177480697632
201,LeakyReLU,rmsprop,0.3,,0.005,0.8183333277702332,0.7955090999603271,0.8026999831199646,0.8268737196922302
299,tanh,rmsprop,0.2,,0.001,0.8178333044052124,0.8081485033035278,0.8052999973297119,0.8308053016662598
182,LeakyReLU,rmsprop,,,0.001,0.8173333406448364,0.7273769378662109,0.8032000064849854,0.7557703256607056
92,relu,rmsprop,0.3,,0.001,0.8163333535194397,0.7310025095939636,0.8043000102043152,0.7635936737060547
246,tanh,adam,0.5,,0.005,0.815833330154419,0.9032368063926697,0.7997000217437744,0.9375500679016113
113,LeakyReLU,adam,,0.001,0.001,0.8130000233650208,1.185024619102478,0.7953000068664551,1.210339903831482
5,relu,adam,,0.001,0.001,0.8116666674613953,1.182744026184082,0.7972999811172485,1.2086818218231201
122,LeakyReLU,adam,0.2,0.001,0.001,0.8100000023841858,1.177697777748108,0.7908999919891357,1.2064870595932007
220,tanh,adam,,0.001,,0.809166669845581,1.049198865890503,0.791100025177002,1.0812652111053467
239,tanh,adam,0.3,0.001,0.001,0.8090000152587891,1.1082500219345093,0.794700026512146,1.136296033859253
309,tanh,rmsprop,0.3,,0.005,0.8084999918937683,0.8716405630111694,0.8007000088691711,0.8977248072624207
318,tanh,rmsprop,0.5,,0.005,0.8076666593551636,0.9399106502532959,0.7924000024795532,0.9650067090988159
14,relu,adam,0.2,0.001,0.001,0.8075000047683716,1.1800556182861328,0.7918000221252441,1.2013108730316162
229,tanh,adam,0.2,0.001,,0.8073333501815796,1.102467656135559,0.7953000068664551,1.1263437271118164
93,relu,rmsprop,0.3,,0.005,0.8059999942779541,0.8281564116477966,0.7922000288963318,0.8558257818222046
112,LeakyReLU,adam,,0.001,,0.8051666617393494,1.2195395231246948,0.7883999943733215,1.2434583902359009
114,LeakyReLU,adam,,0.001,0.005,0.8036666512489319,1.1297441720962524,0.7839999794960022,1.1556737422943115
13,relu,adam,0.2,0.001,,0.8034999966621399,1.1798607110977173,0.786899983882904,1.206444263458252
222,tanh,adam,,0.001,0.005,0.8031666874885559,0.9838096499443054,0.7910000085830688,1.005868911743164
240,tanh,adam,0.3,0.001,0.005,0.8031666874885559,1.0544612407684326,0.7875999808311462,1.0782431364059448
23,relu,adam,0.3,0.001,0.001,0.8031666874885559,1.2101808786392212,0.79339998960495,1.2303266525268555
238,tanh,adam,0.3,0.001,,0.8029999732971191,1.1224000453948975,0.7857999801635742,1.1504168510437012
221,tanh,adam,,0.001,0.001,0.8029999732971191,1.0173308849334717,0.7886999845504761,1.0373389720916748
211,LeakyReLU,rmsprop,0.5,0.001,,0.8003333210945129,1.386264443397522,0.7803000211715698,1.4137828350067139
210,LeakyReLU,rmsprop,0.5,,0.005,0.799833357334137,0.8557640910148621,0.785099983215332,0.8899390697479248
130,LeakyReLU,adam,0.3,0.001,,0.7991666793823242,1.228440761566162,0.786300003528595,1.2560524940490723
231,tanh,adam,0.2,0.001,0.005,0.7986666560173035,1.0507597923278809,0.785099983215332,1.0787277221679688
6,relu,adam,,0.001,0.005,0.7985000014305115,1.207745909690857,0.7824000120162964,1.241464614868164
121,LeakyReLU,adam,0.2,0.001,,0.7978333234786987,1.1647160053253174,0.7882000207901001,1.1909736394882202
4,relu,adam,,0.001,,0.7976666688919067,1.231728196144104,0.7803999781608582,1.2539088726043701
301,tanh,rmsprop,0.2,0.001,,0.797166645526886,1.1665539741516113,0.7792999744415283,1.1914427280426025
75,relu,rmsprop,,,0.005,0.796999990940094,0.8479810357093811,0.7874000072479248,0.8678330779075623
139,LeakyReLU,adam,0.5,0.001,,0.796500027179718,1.3080084323883057,0.7791000008583069,1.3324339389801025
185,LeakyReLU,rmsprop,,0.001,0.001,0.7963333129882812,1.1971403360366821,0.777400016784668,1.2241876125335693
230,tanh,adam,0.2,0.001,0.001,0.7958333492279053,1.0763566493988037,0.7846999764442444,1.1001975536346436
183,LeakyReLU,rmsprop,,,0.005,0.7954999804496765,0.8810999393463135,0.777999997138977,0.9227752089500427
247,tanh,adam,0.5,0.001,,0.7953333258628845,1.3370128870010376,0.7811999917030334,1.3595564365386963
15,relu,adam,0.2,0.001,0.005,0.7951666712760925,1.1381264925003052,0.7818999886512756,1.1621527671813965
303,tanh,rmsprop,0.2,0.001,0.005,0.7935000061988831,1.155024766921997,0.777400016784668,1.178714394569397
140,LeakyReLU,adam,0.5,0.001,0.001,0.7933333516120911,1.3006160259246826,0.7836999893188477,1.3216503858566284
22,relu,adam,0.3,0.001,,0.7931666374206543,1.2433241605758667,0.781499981880188,1.267940878868103
320,tanh,rmsprop,0.5,0.001,0.001,0.7929999828338623,1.361798882484436,0.7782999873161316,1.3902713060379028
131,LeakyReLU,adam,0.3,0.001,0.001,0.7925000190734863,1.1771985292434692,0.7835000157356262,1.1983152627944946
24,relu,adam,0.3,0.001,0.005,0.7925000190734863,1.1573823690414429,0.7766000032424927,1.1819180250167847
248,tanh,adam,0.5,0.001,0.001,0.7916666865348816,1.3009974956512451,0.7773000001907349,1.3257395029067993
254,tanh,sgd,,,0.001,0.7904999852180481,1.2538145780563354,0.7738999724388123,1.2783929109573364
194,LeakyReLU,rmsprop,0.2,0.001,0.001,0.7873333096504211,1.2487401962280273,0.7717000246047974,1.2765655517578125
193,LeakyReLU,rmsprop,0.2,0.001,,0.7863333225250244,1.3206967115402222,0.7687000036239624,1.3508038520812988
255,tanh,sgd,,,0.005,0.7854999899864197,3.379403591156006,0.7684000134468079,3.401644229888916
